,revmodid,revmodcode,organization,english_translation,popular_alternative_name_or_acronym_most_recent,born,died,dead,age,duration,outcome_goal,adversary,achieve,partialsuccess,completesuccess,orderedsuccess,polcommand,nopolorgplus01,polorgplus,leader_s,leadershipdecapitation,killed,arrested,executed,separate,overthrow_takeover,empire,counterrev,reform,eliminate_expel,nsd,islamist,leftist,right,anarchist,identity_group_representation,excludedconstituentsatinception,size_year_one,size_peak,hegemonic,unifiedfront,area_of_operation,adversary.1,violent,nv,mixedapproach,as,ks,lethal,demonl,demonc,turnedviolent,ties,tiefights,sponsors,sponsorfights,west,latinamerica,mideastnafrica,africa,centraleurasia,southasia,seasia,eastasia,state,polity_year_one,polity_peak,dem_year_one,dem,autocracy,gdp_year_one,gdp,transition_to_democratic_party_politics,transitioned_from_organized_crime_to_resistance,transitioned_to_organized_crime,drugtrade,terrorism,foughtincivilwar,enteredpostcoldwar,lost_state_sponsorship,safe_haven,participates_in_negotiations,sas,sa,splinter_organization,ethnic,religious_sectarian,national,ideological,apocalyptic,fights_foreign_force
0,2,2B,Sendero Luminoso,Shining Path,,1964,2012.0,1,48.0,48.0,establish Maoist state in Peru,Peru,0,0,0,0,4,1,0,Abimael Guzman (aka Presidente Gonzalo); Julio Cesar Mezzich; Carlota Tello Cutti; Oscar Ramirez Durand (aka Comrade Feliciano); Florindo Eleuterio Flores-Hala (aka Comrade Artemio),1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Maoist Peruvians,1.0,2000.0,12000.0,1,0,Peru,Peru,1,0,0,4518,11458,2.536078,0.0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,15.0,19,0,1.0,0.0,376.0,5401.0,0.0,0,1,1.0,1,1,1,0.0,0,0,0,0,1,0,0,0,1,0,0
1,3,3C,Frente Farabundo Martí para la Liberación Nacional (FMLN) [umbrella]/Dirección Revolucionaria Unificada (DRU) [umbrella]/Frente Democratico Revolucionaria (FDR) [umbrella],Farabundo Marti National Liberation Front/Unified Revolutionary Directorate/Revolutionary Democratic Front,FMLN,1979,,0,35.0,15.0,replace El Salvadoran regime; establish socialist government,El Salvador; U.S.,10,1,0,1,16,0,1,Salvador Cayetano Carpio; Rene Cruz; Salvador Sanchez Ceren; Shafik Handal,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist El Salvadorans,1.0,1000.0,12000.0,1,1,El Salvador,El Salvador; U.S.,0,0,1,3357,7868,2.343759,0.0,0,0,9,1,4,0,0,1,0,0,0,0,0,0,1,4.0,17,0,1.0,0.0,770.0,3496.0,1.0,0,0,0.0,1,1,1,1.0,1,1,0,0,0,0,0,0,1,0,1
2,4,4D,Óghlaigh na hÉireann/Cumann na mBan/Fianna na hÉireann,Provisional Irish Republican Army (PIRA)/Irish Republican Army (IRA)/The Irish Women's Council,PIRA,1969,2005.0,1,36.0,28.0,separate Northern Ireland from the UK; gain control of Northern Ireland politically,UK; Irish Loyalists,0,0,0,0,10,0,1,"John Stevenson (aka Seán Mac Stíofáin); Martin McGuiness; John Kelly; Gerard ""Gerry"" Adams; Joe Cahill; Éamon O'Doherty; Thomas ""Slab"" Murphy",1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,1,0,0,Irish Catholics,1.0,500.0,80000.0,1,0,Ireland; UK,UK; Irish Loyalists,0,0,1,2673,1885,0.7052001,0.0,0,0,9,0,2,0,1,0,0,0,0,0,0,0,1,20.0,20,1,1.0,0.0,2032.0,37867.0,1.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0
3,5,5E,"Alfaro Vive, Carajo (AVC)","Alfaro Lives, Damn It!",AVC,1980,1991.0,1,11.0,11.0,establish leftist government in Ecuador,Ecuador,0,0,0,0,8,1,0,Arturo Jarrin,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Ecuadorans,1.0,100.0,300.0,0,0,Ecuador,Ecuador,0,0,1,28,18,0.6428571,0.0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,19.0,19,1,1.0,0.0,2242.0,1709.0,1.0,1,0,0.0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0
4,6,6F,Euskadi ta Askatasuna (ETA)/Batasuna/Octavos,Basque Homeland and Freedom,ETA,1959,2013.0,1,54.0,52.0,establish independent Basque state,Spain,0,0,0,0,8,1,0,"Domingo Iturbe Abasolo (aka ""Txomin""); Francisco Mugica Garmendia (aka ""Pakito""); Arnaldo Otegi Mondragón; Jose Ternera; Julen Kerman Madariaga Agirre; Franciso Javier Lopez Pena; Mikel de Garikoitz Aspiazu ",1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Basques,1.0,1000.0,1000.0,1,0,Spain,Spain,0,0,1,2006,818,0.4077767,0.0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,1,3.0,20,0,1.0,0.0,390.0,34988.0,0.0,1,0,1.0,1,0,1,1.0,1,1,0,0,1,1,0,0,0,0,0
5,7,7G,Hery Velona/Haute Autorité,Living Forces,,1991,1993.0,1,2.0,2.0,institute free and fair elections,Madagascar,18,1,1,2,20,0,1,Albert Zafy; Rakotoniaina Manandafy,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,Pro-Democracy Malagasy,1.0,400000.0,2766704.0,1,0,Madagascar,Madagascar,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.0,14,0,0.0,1.0,223.0,267.0,1.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
6,8,8H,Black Night Monk Movement,,,1987,1989.0,1,2.0,2.0,establish independent Tibetan state,China,0,0,0,0,2,1,0,[leaderless],0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Tibetans,1.0,8000.0,10000.0,1,1,Tibet,China,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3,0,0.0,1.0,250.0,307.0,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0
7,9,9I,Harakat al-Jihad al-Islami fi Filastin/Saraya al-Quds,Islamic Jihad in Palestine/Palestinian Islamic Jihad (PIJ),PIJ,1979,,0,35.0,35.0,replace Israel with Islamist state,Israel; Jaish al-Um'mah,6,0,0,0,4,1,0,Fathi Shaqaqi; Sheikh Abd al-Aziz Awda; Ramadan Shallah ,1.0,1.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Islamist Palestinians,1.0,50.0,10000.0,0,0,Israel/disputed territories,Israel; Jaish al-Um'mah,1,0,0,1662,308,0.1853189,0.0,0,0,9,1,3,0,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,4625.0,31282.0,0.0,0,0,0.0,1,0,1,1.0,1,0,79,1,1,0,1,0,0,1,0
8,10,10J,al-Tawhid wal-Jihad/Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn/Majlis Shura al-Mujahedin fil-'Iraq/Dawlat al-'Iraq al-Islamiyya/ad-Dawlah al-Islamiyya fil-'Iraq wash-Sham (Daesh)/ad-Dawlah al-Islamiyya,Monotheism and Jihad/al-Qaeda in Iraq (AQI)/Mujahedin Shura Council (MSC)/Islamic State of Iraq (ISI)/Islamic State of Iraq and the Levant (ISIL)/The Islamic State,IS,1999,,0,15.0,15.0,establish the Islamic Caliphate in Iraq; establish the Islamic Caliphate in Iraq and the Levant,U.S.-led coalition; Iraq; Shi'a forces; ASC,16,1,1,2,16,0,1,Abu Musab al-Zarqawi; Abu Hamza al-Muhajir (Abu Ayyub al-Masri); Abu Umar al-Baghdadi; Abu Bakr al-Baghdadi ,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,Sunni Mujahedin,1.0,50.0,80000.0,1,0,Iraq; Middle East,U.S.-led coalition; Iraq; Shi'a forces; ASC,1,0,0,1670,14542,8.707785,0.0,0,0,22,1,0,0,0,0,1,0,0,0,0,0,1,0.0,20,0,0.0,1.0,1625.0,40342.0,0.0,0,1,1.0,1,0,1,0.0,0,0,1263,1,0,0,1,0,0,1,1
9,11,11K,Ejército de Liberación Nacional (ELN),National Liberation Army,ELN,1963,,0,51.0,51.0,replace Colombian regime with socialist state,AUC; Colombia,8,0,0,0,4,1,0,Fabio Vásquez Castaño; Manuel Pérez Martínez (El Cura Pérez); Nicolás Rodríguez Bautista (aka Gabino); Victor Medina; Eliécer Erlington Chamorro Acosta (aka Antonio García),0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist Colombians,1.0,50.0,5000.0,0,0,Colombia,AUC; Colombia,1,0,0,1461,1749,1.197125,0.0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1,17.0,19,1,1.0,0.0,268.0,6240.0,0.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0
10,12,12L,May 15 Organization for the Liberation of Palestine,,,1979,1984.0,1,5.0,5.0,eliminate international support for Israel/eliminate Israel,Israel; U.S.; the West; Iran,0,0,0,0,0,1,0,"Hussein Muhammad al-Umari (aka ""the Bomb Man"";  Abu Ibrahim)",0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,Palestinians,1.0,70.0,70.0,0,0,Middle East; Europe,Israel; U.S.; the West; Iran,1,0,0,6,3,0.5,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,19.0,19,1,1.0,0.0,4625.0,6683.0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,1,0,0,1,0,0,1
11,13,13M,Kommando Hau Weg die Scheisse,Get Rid of the Shit Command,,1986,1986.0,1,0.1,0.1,eliminate West Germany's capitalist system,West Germany,0,0,0,0,0,1,0,[no identifiable leader],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,Anti-Capitalist West Germans,1.0,10.0,10.0,0,0,West Germany,capitalists,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,20,1,1.0,0.0,13420.0,13420.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
12,14,14N,8-8-88 Uprising/National League for Democracy (NLD),,NLD,1988,,0,26.0,23.0,replace Burma Socialist Program Party (BSPP) regime with multi-party system,Myanmar,10,1,0,1,18,0,1,Aung San Suu Kyi,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,Anti-BSPP Burmese,1.0,1000000.0,12000000.0,1,0,Burma,Myanmar,0,1,0,0,0,0.0,10.0,9,1,1,0,1,0,1,0,0,0,0,0,1,0,1,4.0,4,0,0.0,1.0,111.0,1107.0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
13,15,15O,Communist Party of India-Maoists (CPI-M)/People's Liberation Guerrila Army (PLGA),,CPI-M,2004,,0,10.0,10.0,establish Maoist state,India,8,0,0,0,16,0,1,Muppala Lakshman Rao (alias Ganapathi) ,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,Maoist Indians,1.0,1000.0,50000.0,1,0,India,India,1,0,0,1418,1877,1.323695,0.0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,19.0,19,1,1.0,0.0,641.0,1489.0,0.0,0,1,1.0,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
14,16,16P,Harakat at-Tahrir al-Watani al-Filastini (FATAH)/Force 17/Tanzim/al-Aqsa Martyrs' Brigade/al-Asifa/Martyrs of Issam Sartawi,Palestinian National Liberation Movement,Fatah,1958,,0,56.0,56.0,replace Israel with Palestinian state; establish Palestinian state,Israel; ANO; Jund al-Sham; Hamas,10,1,0,1,18,0,1,Yasser Arafat; Abu Iyad; Mahmoud Abbas,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Palestinians,1.0,500.0,501448.0,1,0,Israel/disputed territories/Middle East,Israel; ANO; Jund al-Sham; Hamas,0,0,1,717,939,1.309623,0.0,0,0,17,1,6,0,0,0,1,0,0,0,0,0,1,20.0,20,1,1.0,0.0,4109.0,31282.0,1.0,0,1,0.0,1,0,1,1.0,3,1,62,1,0,0,0,1,0,0,0
15,17,17Q,African National Congress (ANC)/Umkhonto we Sizwe (MK)/South African Native National Congress (SANNC),,ANC,1912,,0,102.0,33.0,replace South African regime; maintain control of South African government,South Africa; AZAPO,20,1,1,2,20,0,1,Nelson Mandela; Oliver Reginald Tambo; Chris Hani ,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Black South Africans,1.0,10000.0,13000.0,1,0,South Africa,South Africa; AZAPO,0,0,1,768,638,0.8307292,2.0,2,0,3,0,9,0,0,0,0,1,0,0,0,0,1,14.0,19,0,1.0,0.0,2535.0,3557.0,0.0,0,1,0.0,1,1,1,1.0,2,1,0,0,0,1,0,0,0,0,0
16,18,18R,Fronte di Liberazione Naziunale Corsu (FLNC)/Conculta Naziunalista,Corsican National Liberation Front,FLNC,1976,2014.0,1,38.0,38.0,establish independent Corsican state,France,0,0,0,0,8,1,0,Jean Paul Roesch; Jean Michel Rossi; François Santoni; Charles Pieri,1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Corsicans,1.0,200.0,200.0,1,0,France,France,0,0,1,686,17,0.0247813,0.0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,18.0,19,1,1.0,0.0,6846.0,44117.0,0.0,0,1,0.0,1,0,1,,0,1,0,0,0,1,0,0,0,0,0
17,19,19S,Movimiento 19 de Abril (M-19)/Movimiento 19 de Abril Coordinadora Nacional de Bases (M-19 CNB)/Batallion America (BA),April 19th Movement,M-19,1970,1991.0,1,21.0,20.0,replace Colombian regime with socialist state; establish leftist government in Colombia,Colombia,10,1,0,1,8,1,0,Carlos Francisco Toledo Plata; Carlos Pizarro Leon-Gomez; Jaime Bateman Cayon; Ivan Marino Ospina; Alvara Fayad Delgado;   ,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Colombians,1.0,2000.0,2000.0,0,0,Latin America,Colombia,0,0,1,564,1402,2.485816,0.0,0,0,12,0,4,0,0,1,0,0,0,0,0,0,1,17.0,18,1,1.0,0.0,326.0,1387.0,1.0,1,0,0.0,1,1,0,1.0,0,1,0,0,0,0,0,0,1,0,0
18,20,20T,Movimiento Revolucionario Túpac Amaru (MRTA),Túpac Amaru Revolutionary Movement,MRTA,1982,1997.0,1,15.0,15.0,establish socialist state in Peru,Peru,0,0,0,0,2,1,0,"Ernesto Montes Aliaga; Victor Polay Campos (Comrade ""Rolando""); Nestor Cerpa Cartolini (Comrade ""Evaristo"") ",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist Peruvians,1.0,10.0,2000.0,0,0,Peru,Peru,1,0,0,561,560,0.9982175,0.0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,1,17.0,18,1,1.0,0.0,1164.0,2401.0,0.0,1,0,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0
19,21,21U,União Nacional para a Independêcia Total de Angola (UNITA)/Forças Armadas de Libertação de Angola (FALA)/Free Angola,National Union for the Total Independence of Angola,UNITA,1966,,0,48.0,36.0,establish populist state in Angola,Portugal; Angola/MPLA,12,1,0,1,12,0,1,"Jonas Savimbi; Antonio Dembo; Paulo Lukamba (aka ""Gato"")",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Populist Angolans,1.0,500.0,65000.0,1,1,Angola,Portugal; Angola/MPLA,0,0,1,421,871,2.068884,0.0,0,0,2,0,9,1,0,0,0,1,0,0,0,0,1,1.0,7,0,0.0,1.0,575.0,768.0,1.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,1
20,22,22V,Communist Party of Nepal-Maoists (CPN-M)/Unified Communist Party of Nepal-Maoist (UCPN-M)/All Nepal National Independent Students' Union-Revolutionary (ANNISU-R)/Communist Party of Nepal (Unity Centre),,CPM-N,1994,,0,20.0,10.0,establish Maoist state in Nepal,Nepal,14,1,0,1,16,0,1,"Pushpan Kamal Dahal (aka ""Prachanda"")",0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Maoist Nepalese,1.0,140000.0,229500.0,1,0,Nepal,Nepal,0,0,1,23,654,28.43478,10.0,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1,15.0,16,0,1.0,1.0,206.0,438.0,0.0,0,0,0.0,1,1,1,0.0,0,1,0,0,1,0,0,0,1,0,0
21,23,23W,Hezbollah/Islamic Jihad Organization/Islamic Resistance Front/Ansar Allah/Islamic Jihad for the Liberation of Palestine (IJLP)/Mikdad,Party of Allah,Hezbollah,1982,,0,32.0,32.0,establish Islamist state in Lebanon,Kataeb; Future Movement; Israel; U.S.; France; Asbat al-Ansar; Jund al-Sham,12,1,0,1,16,0,1,Subhi al-Tufayli; Abbas Mussawi; Sayyed Hassan Nasrallah ,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,Shi'a Islamists,1.0,2000.0,100000.0,0,0,global,Kataeb; Future Movement; Israel; U.S.; France; Asbat al-Ansar; Jund al-Sham,0,0,1,777,1398,1.799228,0.0,0,0,22,1,2,1,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,6096.0,31282.0,1.0,1,1,1.0,1,1,1,0.0,0,1,32,1,0,0,1,0,0,1,0
22,24,24X,Friedliche Revolution [bloc: Neues Forum; Demokratischer Aufbruch; Demokratie Jetzt; Protestant churches],Peaceful Revolution,,1989,1990.0,1,0.2,0.2,overthrow communist regime and unify East Germany with the democratic government of West Germany,East Germany,18,1,1,2,10,0,1,Bärbel Bohley; Robert Havermann; Rainer Eppelman,1.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,Pro-Democracy East Germans,1.0,70000.0,70000.0,1,1,East Germany,East Germany,0,1,0,0,0,0.0,6.0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1.0,1,0,0.0,1.0,,,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
23,25,25Y,Lijan al-Muqawama al-Sha'biyye/an-Nasser Salah ad-Din Battalions,Popular Resistance Committees (PRC),PRC,2000,,0,14.0,14.0,replace Israel with Islamist state,Israel,2,0,0,0,2,1,0,Jamal Abu Samhadana; Amir Qarmoot Abu as-Sa'id; Kamal al-Nirab; Zuhair al-Qaisi; Ayman al-Shashniya,1.0,1.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Islamist Palestinians,1.0,500.0,500.0,0,0,Disputed Territories,Israel,1,0,0,336,30,0.0892857,0.0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,20902.0,31282.0,0.0,0,0,0.0,1,0,1,0.0,0,0,4,1,1,0,1,0,0,0,0
24,26,26Z,Corelli Street 6 (CS6),,CS6,1940,1945.0,1,5.0,5.0,expel the Germans from the Netherlands,Germany; pro-Nazi Dutch,0,0,0,0,0,1,0,Gideon Boissevain; Jan Karel ('Janka') Boissevain; Gerrit Kastein,1.0,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,anti-Nazi Dutch,1.0,40.0,40.0,0,0,Netherlands,Germany; pro-Nazi Dutch,1,0,0,50,20,0.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,,,,,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
25,27,27AA,Movimiento de Izquierda Revolucionaria (MIR)/Juntos Podemos Más (JPM)/Commandos of the People's Resistance/Commando Salvador Allende/Comando de Resistancie Popular Javier Carrera/FM-7,Movement of the Revolutionary Left,MIR,1965,,0,49.0,29.0,replace pro-Western regime in Chile with leftist state,Chile,4,0,0,0,4,1,0,Miguel Enríquez; Andrés Pascale Allende; Hernán Aguiló; Jecar Neghme Cristi ,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Chileans,1.0,100.0,10000.0,1,0,Chile,Chile,0,0,1,306,50,0.1633987,0.0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,1,5.0,18,0,1.0,0.0,703.0,3883.0,1.0,0,1,0.0,1,0,1,1.0,0,0,0,0,1,0,0,0,1,0,0
26,28,28AB,"Ejercito Popular de Liberacion (EPL)/Esperanza, Paz, y Libertad",Popular Liberation Army,EPL,1967,,0,47.0,24.0,establish Maoist government in Colombia; establish leftist government in Colombia,Colombia; FARC; ACCU,6,0,0,0,4,1,0,Pedro Leon Arboleda; Franciso Caraballo; Jairo Calvo (aka Ernesto Rojas),1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Colombians,1.0,500.0,3000.0,0,0,Colombia,Colombia; FARC; ACCU,0,0,1,261,598,2.291188,0.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,17.0,19,1,1.0,0.0,282.0,6240.0,1.0,0,1,1.0,1,1,1,0.0,0,1,0,0,1,0,0,0,1,0,0
27,29,29AC,Ulster Volunteer Force (UVF),,UVF,1966,,0,48.0,44.0,prevent republican succession,IRA orgs,18,1,1,2,12,0,1,Gusty Spence,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,Irish Protestants,0.0,20.0,1500.0,0,0,Northern Ireland/UK,IRA orgs,1,0,0,263,404,1.536122,0.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0
28,30,30AD,al-Gama'a al-Islamiyya (GI)/Hezb al-Benaa wal-Tanmia,The Islamic Group,GI,1973,,0,41.0,40.0,replace Egypt with Islamist state; preserve Islamist state,Egypt,4,0,0,0,10,0,1,Karim Zuhdi; Omar Abdel-Rahman; Rifaie Ahmed Taha; Mustafa Hamza; Mohammad Hasan Khalil al-Hakim ,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,Islamist Egyptians,1.0,2000.0,6700.0,0,0,Egypt; Croatia,Egypt,0,0,1,260,495,1.903846,0.0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,1,3.0,7,0,0.0,1.0,260.0,2698.0,1.0,0,0,0.0,1,0,1,1.0,0,0,1,1,1,0,1,0,0,0,0
