,revmodid,revmodcode,organization,english_translation,popular_alternative_name_or_acronym_most_recent,born,died,dead,age,duration,outcome_goal,adversary,achieve,partialsuccess,completesuccess,orderedsuccess,polcommand,nopolorgplus01,polorgplus,leader_s,leadershipdecapitation,killed,arrested,executed,separate,overthrow_takeover,empire,counterrev,reform,eliminate_expel,nsd,islamist,leftist,right,anarchist,identity_group_representation,excludedconstituentsatinception,size_year_one,size_peak,hegemonic,unifiedfront,area_of_operation,adversary.1,violent,nv,mixedapproach,as,ks,lethal,demonl,demonc,turnedviolent,ties,tiefights,sponsors,sponsorfights,west,latinamerica,mideastnafrica,africa,centraleurasia,southasia,seasia,eastasia,state,polity_year_one,polity_peak,dem_year_one,dem,autocracy,gdp_year_one,gdp,transition_to_democratic_party_politics,transitioned_from_organized_crime_to_resistance,transitioned_to_organized_crime,drugtrade,terrorism,foughtincivilwar,enteredpostcoldwar,lost_state_sponsorship,safe_haven,participates_in_negotiations,sas,sa,splinter_organization,ethnic,religious_sectarian,national,ideological,apocalyptic,fights_foreign_force
0,2,2B,Sendero Luminoso,Shining Path,,1964,2012,1,48.0,48,ESTABLISH MAOIST STATE IN PERU,PERU,0,0,0,0,4,1,0,"ABIMAEL GUZMAN (AKA PRESIDENTE GONZALO), JULIO CESAR MEZZICH, CARLOTA TELLO CUTTI, OSCAR RAMIREZ DURAND (AKA COMRADE FELICIANO), FLORINDO ELEUTERIO FLORES-HALA (AKA COMRADE ARTEMIO)",1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Maoist Peruvians,1.0,2000.0,12000.0,1,0,PERU,Peru,1,0,0,4518,11458,2.536078,0.0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,15.0,19,0,1.0,0.0,376.0,5401.0,0.0,0,1,1.0,1,1,1,0.0,0,0,0,0,1,0,0,0,1,0,0
1,3,3C,Frente Farabundo Martí para la Liberación Nacional (FMLN) [umbrella]/Dirección Revolucionaria Unificada (DRU) [umbrella]/Frente Democratico Revolucionaria (FDR) [umbrella],Farabundo Marti National Liberation Front/Unified Revolutionary Directorate/Revolutionary Democratic Front,FMLN,1979,0,0,35.0,15,REPLACE EL SALVADORAN REGIME; ESTABLISH SOCIALIST GOVERNMENT,"EL SALVADOR, U.S.",10,1,0,1,16,0,1,"SALVADOR CAYETANO CARPIO, RENE CRUZ, SALVADOR SANCHEZ CEREN, SHAFIK HANDAL",0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist El Salvadorans,1.0,1000.0,12000.0,1,1,EL SALVADOR,El Salvador; U.S.,0,0,1,3357,7868,2.343759,0.0,0,0,9,1,4,0,0,1,0,0,0,0,0,0,1,4.0,17,0,1.0,0.0,770.0,3496.0,1.0,0,0,0.0,1,1,1,1.0,1,1,0,0,0,0,0,0,1,0,1
2,4,4D,Óghlaigh na hÉireann/Cumann na mBan/Fianna na hÉireann,Provisional Irish Republican Army (PIRA)/Irish Republican Army (IRA)/The Irish Women's Council,PIRA,1969,2005,1,36.0,28,SEPARATE NORTHERN IRELAND FROM THE UK; GAIN CONTROL OF NORTHERN IRELAND POLITICALLY,"UK, IRISH LOYALISTS",0,0,0,0,10,0,1,"JOHN STEVENSON (AKA SEÁN MAC STÍOFÁIN), MARTIN MCGUINESS, JOHN KELLY, GERARD ""GERRY"" ADAMS, JOE CAHILL, ÉAMON O'DOHERTY, THOMAS ""SLAB"" MURPHY",1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,1,0,0,Irish Catholics,1.0,500.0,80000.0,1,0,"IRELAND, UK",UK; Irish Loyalists,0,0,1,2673,1885,0.7052001,0.0,0,0,9,0,2,0,1,0,0,0,0,0,0,0,1,20.0,20,1,1.0,0.0,2032.0,37867.0,1.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0
3,5,5E,"Alfaro Vive, Carajo (AVC)","Alfaro Lives, Damn It!",AVC,1980,1991,1,11.0,11,ESTABLISH LEFTIST GOVERNMENT IN ECUADOR,ECUADOR,0,0,0,0,8,1,0,ARTURO JARRIN,1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Ecuadorans,1.0,100.0,300.0,0,0,ECUADOR,Ecuador,0,0,1,28,18,0.6428571,0.0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,1,19.0,19,1,1.0,0.0,2242.0,1709.0,1.0,1,0,0.0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0
4,6,6F,Euskadi ta Askatasuna (ETA)/Batasuna/Octavos,Basque Homeland and Freedom,ETA,1959,2013,1,54.0,52,ESTABLISH INDEPENDENT BASQUE STATE,SPAIN,0,0,0,0,8,1,0,"DOMINGO ITURBE ABASOLO (AKA ""TXOMIN""), FRANCISCO MUGICA GARMENDIA (AKA ""PAKITO""), ARNALDO OTEGI MONDRAGÓN, JOSE TERNERA, JULEN KERMAN MADARIAGA AGIRRE, FRANCISO JAVIER LOPEZ PENA, MIKEL DE GARIKOITZ ASPIAZU ",1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Basques,1.0,1000.0,1000.0,1,0,SPAIN,Spain,0,0,1,2006,818,0.4077767,0.0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,1,3.0,20,0,1.0,0.0,390.0,34988.0,0.0,1,0,1.0,1,0,1,1.0,1,1,0,0,1,1,0,0,0,0,0
5,7,7G,Hery Velona/Haute Autorité,Living Forces,,1991,1993,1,2.0,2,INSTITUTE FREE AND FAIR ELECTIONS,MADAGASCAR,18,1,1,2,20,0,1,"ALBERT ZAFY, RAKOTONIAINA MANANDAFY",1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,Pro-Democracy Malagasy,1.0,400000.0,2766704.0,1,0,MADAGASCAR,Madagascar,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.0,14,0,0.0,1.0,223.0,267.0,1.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
6,8,8H,Black Night Monk Movement,Black Night Monk Movement,,1987,1989,1,2.0,2,ESTABLISH INDEPENDENT TIBETAN STATE,CHINA,0,0,0,0,2,1,0,LEADERLESS,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Tibetans,1.0,8000.0,10000.0,1,1,TIBET,China,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3,0,0.0,1.0,250.0,307.0,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0
7,9,9I,Harakat al-Jihad al-Islami fi Filastin/Saraya al-Quds,Islamic Jihad in Palestine/Palestinian Islamic Jihad (PIJ),PIJ,1979,0,0,35.0,35,REPLACE ISRAEL WITH ISLAMIST STATE,"ISRAEL, JAISH AL-UM'MAH",6,0,0,0,4,1,0,"FATHI SHAQAQI, SHEIKH ABD AL-AZIZ AWDA, RAMADAN SHALLAH ",1.0,1.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Islamist Palestinians,1.0,50.0,10000.0,0,0,ISRAEL/DISPUTED TERRITORIES,Israel; Jaish al-Um'mah,1,0,0,1662,308,0.1853189,0.0,0,0,9,1,3,0,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,4625.0,31282.0,0.0,0,0,0.0,1,0,1,1.0,1,0,79,1,1,0,1,0,0,1,0
8,10,10J,al-Tawhid wal-Jihad/Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn/Majlis Shura al-Mujahedin fil-'Iraq/Dawlat al-'Iraq al-Islamiyya/ad-Dawlah al-Islamiyya fil-'Iraq wash-Sham (Daesh)/ad-Dawlah al-Islamiyya,Monotheism and Jihad/al-Qaeda in Iraq (AQI)/Mujahedin Shura Council (MSC)/Islamic State of Iraq (ISI)/Islamic State of Iraq and the Levant (ISIL)/The Islamic State,IS,1999,0,0,15.0,15,ESTABLISH THE ISLAMIC CALIPHATE IN IRAQ; ESTABLISH THE ISLAMIC CALIPHATE IN IRAQ AND THE LEVANT,"U.S.-LED COALITION, IRAQ, SHI'A FORCES, ASC",16,1,1,2,16,0,1,"ABU MUSAB AL-ZARQAWI, ABU HAMZA AL-MUHAJIR (ABU AYYUB AL-MASRI), ABU UMAR AL-BAGHDADI, ABU BAKR AL-BAGHDADI ",1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,Sunni Mujahedin,1.0,50.0,80000.0,1,0,"IRAQ, MIDDLE EAST",U.S.-led coalition; Iraq; Shi'a forces; ASC,1,0,0,1670,14542,8.707785,0.0,0,0,22,1,0,0,0,0,1,0,0,0,0,0,1,0.0,20,0,0.0,1.0,1625.0,40342.0,0.0,0,1,1.0,1,0,1,0.0,0,0,1263,1,0,0,1,0,0,1,1
9,11,11K,Ejército de Liberación Nacional (ELN),National Liberation Army,ELN,1963,0,0,51.0,51,REPLACE COLOMBIAN REGIME WITH SOCIALIST STATE,"AUC, COLOMBIA",8,0,0,0,4,1,0,"FABIO VÁSQUEZ CASTAÑO, MANUEL PÉREZ MARTÍNEZ (EL CURA PÉREZ), NICOLÁS RODRÍGUEZ BAUTISTA (AKA GABINO), VICTOR MEDINA, ELIÉCER ERLINGTON CHAMORRO ACOSTA (AKA ANTONIO GARCÍA)",0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist Colombians,1.0,50.0,5000.0,0,0,COLOMBIA,AUC; Colombia,1,0,0,1461,1749,1.197125,0.0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1,17.0,19,1,1.0,0.0,268.0,6240.0,0.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0
