,area_of_operation,eng_organization,outcome_goal,size_peak
0,Peru,Shining Path,establish Maoist state in Peru,12000.0
1,El Salvador,Farabundo Marti National Liberation Front/Unified Revolutionary Directorate/Revolutionary Democratic Front,replace El Salvadoran regime; establish socialist government,12000.0
2,Ireland; UK,Provisional Irish Republican Army (PIRA)/Irish Republican Army (IRA)/The Irish Women's Council,separate Northern Ireland from the UK; gain control of Northern Ireland politically,80000.0
3,Ecuador,"Alfaro Lives, Damn It!",establish leftist government in Ecuador,300.0
4,Spain,Basque Homeland and Freedom,establish independent Basque state,1000.0
5,Madagascar,Living Forces,institute free and fair elections,2766704.0
6,Tibet,Black Night Monk Movement,establish independent Tibetan state,10000.0
7,Israel/disputed territories,Islamic Jihad in Palestine/Palestinian Islamic Jihad (PIJ),replace Israel with Islamist state,10000.0
8,Iraq; Middle East,Monotheism and Jihad/al-Qaeda in Iraq (AQI)/Mujahedin Shura Council (MSC)/Islamic State of Iraq (ISI)/Islamic State of Iraq and the Levant (ISIL)/The Islamic State,establish the Islamic Caliphate in Iraq; establish the Islamic Caliphate in Iraq and the Levant,80000.0
9,Colombia,National Liberation Army,replace Colombian regime with socialist state,5000.0
10,Middle East; Europe,May 15 Organization for the Liberation of Palestine,eliminate international support for Israel/eliminate Israel,70.0
11,West Germany,Get Rid of the Shit Command,eliminate West Germany's capitalist system,10.0
12,Burma,8-8-88 Uprising/National League for Democracy (NLD),replace Burma Socialist Program Party (BSPP) regime with multi-party system,12000000.0
13,India,Communist Party of India-Maoists (CPI-M)/People's Liberation Guerrila Army (PLGA),establish Maoist state,50000.0
14,Israel/disputed territories/Middle East,Palestinian National Liberation Movement,replace Israel with Palestinian state; establish Palestinian state,501448.0
15,South Africa,African National Congress (ANC)/Umkhonto we Sizwe (MK)/South African Native National Congress (SANNC),replace South African regime; maintain control of South African government,13000.0
16,France,Corsican National Liberation Front,establish independent Corsican state,200.0
17,Latin America,April 19th Movement,replace Colombian regime with socialist state; establish leftist government in Colombia,2000.0
18,Peru,Túpac Amaru Revolutionary Movement,establish socialist state in Peru,2000.0
19,Angola,National Union for the Total Independence of Angola,establish populist state in Angola,65000.0
20,Nepal,Communist Party of Nepal-Maoists (CPN-M)/Unified Communist Party of Nepal-Maoist (UCPN-M)/All Nepal National Independent Students' Union-Revolutionary (ANNISU-R)/Communist Party of Nepal (Unity Centre),establish Maoist state in Nepal,229500.0
21,global,Party of Allah,establish Islamist state in Lebanon,100000.0
22,East Germany,Peaceful Revolution,overthrow communist regime and unify East Germany with the democratic government of West Germany,70000.0
23,Disputed Territories,Popular Resistance Committees (PRC),replace Israel with Islamist state,500.0
24,Netherlands,Corelli Street 6 (CS6),expel the Germans from the Netherlands,40.0
25,Chile,Movement of the Revolutionary Left,replace pro-Western regime in Chile with leftist state,10000.0
26,Colombia,Popular Liberation Army,establish Maoist government in Colombia; establish leftist government in Colombia,3000.0
27,Northern Ireland/UK,Ulster Volunteer Force (UVF),prevent republican succession,1500.0
28,Egypt; Croatia,The Islamic Group,replace Egypt with Islamist state; preserve Islamist state,6700.0
29,Turkey,Revolutionary Left,establish communist state in Turkey,300.0
30,Israel/disputed territories,Democratic Front for the Liberation of Palestine (DFLP),replace Israel with Socialist-Palestinian state,1100.0
31,India,United Liberation Front of Assam (ULFA)/United Liberation Force of Assam/Sanjukta Mukti Fouj (SMF)/United Liberation Front of Assam-Anti-Talks Faction (ULFA-ATF)/United Liberation Front of Assam-Independent (ULFA-I),establish independent Assamese state,10000.0
32,Algeria,Armed Islamic Group,establish Islamist state in Algeria,1000.0
33,Italy; Europe,Red Brigades/Red Brigades-Fighting Communist Party/Armed Proletarian Power,establish communist state in Italy,3000.0
34,El Salvador; Guatemala,National Republican Alliance,preserve non-communist El Salvador,10000.0
35,Lebanon; Israel,South Lebanon Army (SLA),establish liberal-democratic Lebanon; reestablish independent Lebanon,5000.0
36,Spain,First of October Antifascist Resistance Group/Reconstituted Communist Party of Spain ,establish Maoist state in Spain,300.0
37,Colombia; Latin America,Simón Bolívar Guerrilla Coordinating Board/National Guerrilla Coordinating Board,replace Colombian regime with socialist state,10000.0
38,Uganda; Congo; DRC; CAR; Sudan,Lord's Resistance Army (LRA)/Holy Spirit Movement/Holy Spirit Mobile Force/United Holy Salvation Army/Uganda Christian Army,establish theocracy in Uganda based on the Ten Commandments/perpetuate Konyism,3000.0
39,Lebanon; Europe; Armenia,Armenian Secret Army for the Liberation of Armenia (ASALA)/The Prisoner Kurken Yanikian Group/Orly Organization/Third of October Group/Ninth of June Organization/Armenian Liberation Movement/Yaya Kashakan Suicide Squad,coerce Turkey into ceding territory to Armenia,300.0
40,Mozambique,Mozambique National Resistance Movement/Mozambique Resistance Movement,stymie communism and establish populist state in Mozambique,20000.0
41,Somalia; Uganda; Kenya,Struggling Youth Movement,establish Islamist state in Somalia,14500.0
42,Philippines,Moro National Liberation Front (MNLF)/Bangsamoro Army (BMA),establish Islamic-Bangsamoro state; establish automous Bangsamoro region,30000.0
