Name,Month,Year,Disaster,Begin_Month,Begin_Day,Begin_Year,Begin_Date,End_Month,End_Day,End_Year,End_Date,Total_CPI_Adjusted_Cost_Millions_of_Dollars,Deaths
Central and Eastern Winter Storm,January,2018,Winter Storm,01,03,2018,20180103,01,05,2018,20180105,1230.8,22
Northeast Winter Storm,March,2018,Winter Storm,03,01,2018,20180301,03,03,2018,20180303,2567,9
Southeastern Tornadoes and Severe Weather,March,2018,Severe Storm,03,18,2018,20180318,03,21,2018,20180321,1698.9,0
Southern and Eastern Tornadoes and Severe Weather,April,2018,Severe Storm,04,13,2018,20180413,04,16,2018,20180416,1542.3,3
Central and Northeastern Severe Weather,May,2018,Severe Storm,05,01,2018,20180501,05,04,2018,20180504,1626.6,0
Central and Eastern Severe Weather,May,2018,Severe Storm,05,13,2018,20180513,05,15,2018,20180515,1603.1,5
Texas Hail Storm,June,2018,Severe Storm,06,06,2018,20180606,06,06,2018,20180606,1508,0
Colorado Hail Storm,June,2018,Severe Storm,06,13,2018,20180613,06,13,2018,20180613,1107.8,0
Colorado Hail Storm,June,2018,Severe Storm,06,18,2018,20180618,06,19,2018,20180619,2578.7,0
Central and Eastern Tornadoes and Severe Weather,July,2018,Severe Storm,07,19,2018,20180719,07,22,2018,20180722,1838.7,0
Rockies and Plains Hail Storms,August,2018,Severe Storm,08,06,2018,20180806,08,07,2018,20180807,1189,0
Hurricane Florence,September,2018,Tropical Cyclone,09,13,2018,20180913,09,16,2018,20180916,27840,53
Hurricane Michael,October,2018,Tropical Cyclone,10,10,2018,20181010,10,11,2018,20181011,28971,49
Southwest/Southern Plains Drought,Summer-Fall,2018,Drought,06,01,2018,20180601,12,30,2018,20181230,3528.2,0
"Western Wildfires, California Firestorm",Summer-Fall,2018,Wildfire,06,01,2018,20180601,12,31,2018,20181231,27840,106
"Southeast, Ohio Valley and Northeast Severe Weather",February,2019,Severe Storm,02,23,2019,20190223,02,25,2019,20190225,1435.6,2
Texas Hail Storm,March,2019,Severe Storm,03,22,2019,20190322,03,24,2019,20190324,1765.3,0
Missouri River and North Central Flooding,March,2019,Flooding,03,14,2019,20190314,03,31,2019,20190331,12443.3,3
Southern and Eastern Tornadoes and Severe Weather,April,2019,Severe Storm,04,13,2019,20190413,04,14,2019,20190414,1427.3,7
South and Southeast Severe Weather,May,2019,Severe Storm,05,07,2019,20190507,05,13,2019,20190513,1726,0
Central Severe Weather,May,2019,Severe Storm,05,16,2019,20190516,05,18,2019,20190518,1109.2,0
"Rockies, Central and Northeast Tornadoes and Severe Weather",May,2019,Severe Storm,05,26,2019,20190526,05,29,2019,20190529,5127.7,3
Arkansas River Flooding,June,2019,Flooding,05,20,2019,20190520,06,14,2019,20190614,3448.5,5
Colorado Hail Storms,July,2019,Severe Storm,07,04,2019,20190704,07,05,2019,20190705,1149.1,0
"Mississippi River, Midwest and Southern Flooding",July,2019,Flooding,03,15,2019,20190315,07,31,2019,20190731,7094.6,4
Hurricane Dorian,September,2019,Tropical Cyclone,08,28,2019,20190828,09,06,2019,20190906,1835.4,10
Tropical Storm Imelda,September,2019,Tropical Cyclone,09,17,2019,20190917,09,21,2019,20190921,5700,5
Texas Tornadoes and Central Severe Weather,October,2019,Severe Storm,10,20,2019,20191020,10,20,2019,20191020,1958.4,2
California and Alaska Wildfires,Summer-Fall,2019,Wildfire,06,01,2019,20190601,11,30,2019,20191130,5130,3
Southeast Tornadoes and Northern Storms and Flooding,January,2020,Severe Storm,01,10,2020,20200110,01,12,2020,20200112,1298.6,10
"South, East and Northeast Severe Weather",February,2020,Severe Storm,02,05,2020,20200205,02,07,2020,20200207,1419.6,3
Tennessee Tornadoes and Southeast Severe Weather,March,2020,Severe Storm,03,02,2020,20200302,03,04,2020,20200304,2639.7,25
Midwest and Ohio Valley Severe Weather,March,2020,Severe Storm,03,27,2020,20200327,03,28,2020,20200328,2890.8,0
North Central and Ohio Valley Hail Storms and Severe Weather,April,2020,Severe Storm,04,07,2020,20200407,04,08,2020,20200408,3284.3,0
Southeast and Eastern Tornado Outbreak,April,2020,Severe Storm,04,12,2020,20200412,04,13,2020,20200413,3926.2,35
Southern Severe Weather,April,2020,Severe Storm,04,21,2020,20200421,04,23,2020,20200423,1539,3
"Central, Southern and Eastern Severe Weather",April,2020,Severe Storm,04,27,2020,20200427,04,30,2020,20200430,1170.7,1
Central and Eastern Severe Weather,May,2020,Severe Storm,05,03,2020,20200503,05,05,2020,20200505,2408.7,2
