,donor_country,min,min,min,min,min,max,max,max,max,max,sum,sum
,,donor,gift_description,recipient,value_usd,year_received,donor,gift_description,recipient,value_usd,year_received,value_usd,year_received
0,Afghanistan,"Abdul Rahim Wardak, Defense Minister, Islamic Republic of Afghanistan","(1) Red and Black Woven Rug with White Tassels ($200); (2) Tan Woven Rug with Tribal Designs and White Tassels ($200); (3) Royal and Blue Lapis Lazuli Vase with White and Red Flower Design ($200); (4) Silver Palm Tree with Intricate Design on Base, Trunk and Leaves ($200); (5) Statue of Jesus Holding Staff with Gold Medallion ($60). Rec'd--7/1/ 2008. Est. Value-- $860.00. Location-- Deposited with Secretary of Senate.","AG Name and title of person accepting the gift on behalf of the U.S. Government 114168/BOYER--C, Vice President 115304/MURRAY--M, Vice President 114191/MURRAY--M, Vice President 115410/MURRAY--M, Vice President 114992/BOYER--C, Vice President 115138/MURRAY--M, Vice President 115145/MURRAY--M, Vice President 115445/MURRAY--M, Vice President 115528/BOYER--C Vice President 117574/BOYER--C, Vice President 116622/BOYER--C, Vice President 116466/BOYER--C, Vice President 116510/BOYER--C, Vice President 119371/BOYER--C, Vice President 116474/BOYER--C, Vice President 116508/BOYER--C, Vice President 116511/BOYER--C, Vice President 116242/BOYER--C, Vice President 116565/BOYER--C, Vice President 116404/BOYER--C, Vice President 117090/BOYER--C, Vice President and Mrs. Cheney. 119207/BOYER--C, Vice President 119822/BOYER--C, Vice President 119455/MURRAY--M, Vice President 119917/BOYER--C, Vice President 119824/BOYER--C, Vice President 119461/MURRAY--M, Vice President 120248/MURRAY--M, Vice President 12037/BOYER--C, Vice President 121673/BOYER--C, Vice President 124348/BOYER--C, Vice President 127931/BOYER--C, Vice President 125948/BOYER--C, Vice President 126198/BOYER--C, Vice President 127985/BOYER--C, Vice President 129322/BOYER--C, Vice President and Mrs. Cheney. 116764/BOYER--C, Vice President and Mrs. Cheney. 128536/BOYER--C, Vice President 115528/BOYER--C, Mrs. Cheney 116466/BOYER--C, Mrs. Cheney 116338/BOYER--C, Mrs. Cheney 116510/BOYER--C, Mrs. Cheney 134571/BOYER--C, Mrs. Cheney 119371/BOYER--C Mrs. Cheney 116474/BOYER--C, Mrs. Cheney 118658/BOYER--C, Mrs. Cheney 117577/BOYER--C, Mrs. Cheney 116511/BOYER--C, Mrs. Cheney 116582/BOYER--C, Mrs. Cheney 121673/BOYER--C, Mrs. Cheney 125948/BOYER--C, Mrs. Cheney 116338/BOYER--C, Vice President Staff 119371/BOYER--C, Vice President Staff 116474/BOYER--C, Vice President Staff 116511/BOYER--C, Vice President Staff 116511/BOYER--C, Vice President Staff 129322/BOYER--C, Vice President Staff",35.0,2001,"the President Gifts] Identity of foreign donor and government His Excellency Eduard Shevardnadze, President of Georgia. His Excellency, Gianfranco Fini, Deputy Prime Minister of the Italian Republic. His Excellency, Bulent Ecevit, Prime Minister The Republic of Turkey. His Excellency, Hamid Karzai, President of Afghanistan. His Excellency, Benjamin Ben-Eliezer, Minister of Defense for Israel. His Highness, Sheikh Salman Bin Hamad Al- Khalifa, Crown Prince and Commander in Chief of the Bahrain Defence Force. His Excellency, Pervez Musharraf, President of the Islamic Republic of Pakistan. His Excellency. Jose Eduardo dos Santos, President of the Republic of Angola. His Excellency, Mohamed Hosny Mubarak, President of the Arab Republic of Egypt. Mr. Philip Reed, Director, Cabinet War Rooms Museum, London. His Excellency Islam Karimov, President of the Republic of Uzbekistan. His Majesty, King Abdullah II bin al Hussein, of the Hashemite Kingdom of Jordan. His Majesty, Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain. His Highness, Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates. His Majesty, Fahd Bin Abd Al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of Kingdom of Saudi Arabia. His Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar. His Highness Shaykh Saad al-Abdullah Al- Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait. His Excellency, Bulent Ecevit, Prime Minister, The Republic of Turkey. General Huseyin Kivrikoglu, Commander of the Turkish Armed Forces. The Honorable, Ariel Sharon, Prime Minister of the State of Israel. His Royal Highness, Prince Bandar Bin Sultan Bin Abdulaziz, and Her Royal Highness, Princess Haifa Al Faisal, Embassy of Saudi Arabia. His Excellency, Igor Yusufov, Minister of Energy of the Russian Federation. His Excellency, Shaykh Khalifa Bin Salman Al Khalifa, Prime Minister of the Kingdom of Bahrain. His Majesty, Mohammad VI, King of Morocco. His Excellency Yonus Qanooni, Minister of Interior, Interim Administration of Afghanistan. His Royal Highness. Abdallah Bin Abd Al- Aziz, Al Saud, Crown Prince, First Deputy Prime Minister, and Commander of the National Guard of Saudi Arabia. His Excellency, Mohamed Hosny Mubarak, President of the Arab Republic of Egypt. The Honorable Fredrick Chien, President of Control Yuan of the Republic, Taiwan. Senator Marcello Pera, President of the Italian Senate. His Excellency, Aleksander Kwasniewski, President of the Republic of Poland. His Excellency, Abdulaziz Komilov, Minister of Foreign Affairs of Uzbekistan. His Excellency, Askar Akaev, President of the Kyrgyz Republic. Field Marshal Hussein Tantawi, Commander-in- Chief of the Armed Forces, Embassy of the Arab Republic of Egypt. His Excellency, Igor Yusufov, Minister of Energy of the Russian Federation. His Excellency, Gonzalo Sanchez De Lozada, President of the Republic of Bolivia. His Excellency, Salem Abdullah Al-Jaber Al- Sabah and Mrs. Rima R. Al-Sabah, Embassy of Kuwait. Yasser Arafat, Chairman of Palestinian Authority, Palestine. The Honorable Lien Chan, Chairman, Kuomintang Party, Taiwan. His Excellency, Mohamed Hosny Mubarak, President of the Arab Republic of Egypt. His Majesty, King Abdullah II bin al Hussein, of the Hashemite Kingdom of Jordan. His Royal Highness, Abdallah Bin Abd Al- Aziz, Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia. His Majesty, Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain. His Highness, Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates. His Highness, Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates. His Majesty, Fahd Bin Abd Al-Aziz Al Saud, Custodian of the Two Holy Mosques and King of Kingdom of Saudi Arabia. His Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar. High Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar. High Highness, Shaykh Saad al-Abdullah Al- Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait. Shaykh Saad al-Abdullah Al-Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait. His Excellency Aleksander Kwasniewski President of the Republic of Poland. Field Marshal Hussein Tantawi, Commander-in- Chief of the Armed Forces, Embassy of the Arab Republic of Egypt. His Royal Highness, Abdallah Bin Abd Al- Aziz, Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia. His Highness Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates. His Majesty, Fahd Bin Abd Al-Aziz Al Saud, Custodian of the Two Holy Mosques and King of Kingdom of Saudi Arabia. His Highness Shaykh Saad al-Abdullah Al- Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait. His Highness Shaykh Saad al-Abdullah Al- Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait. His Excellency Salem Abdullah Al-Jaber Al- Sabah & Mrs. Rima R. Al-Sabah, Embassy of Kuwait",Woven wool Afghani carpet. Rec'd--6-Mar- 07; Est. Value--$900; Disposition--Archives.,"White House Staff Member. LTG Lute, Douglas",110000.0,2018,505429.42,689296
1,Bahrain,"Abdulla H. Saif, Finance Minister, Government of Bahrain","(1) Plaque stating ``Bahrain Defense Force'' over colored roundels, over ``Field Marshal Khalifa Bin Ahmed Al- Khalifa/Commander in chief of Bahrain Defense Force, (2) Curved sword, 39'' long, having polished non- fluted blade secured in a 3-prong silver tone hilt and bracket shape handle with 2 blade panels ornamented with six 8- point stars, accompanied by black leather clad sheath having engraved silver tone black scrollwork, end inscribed #4445, also gilt Bahraini sheik emblem on one side, plus white/black cord and 2 tassels. Rec'd--3/14/ 2018. Est. value--$640.00. Disposition--Pending transfer to GSA.","Admiral Gary Roughead, Chief of Naval Operations",120.0,2001,The Kingdom of Bahrain,Wristwatch. Rec'd--6/21/ 2012. Est. Value-- $780.00. Disposition-- Pending Transfer to General Services Administration.,"White House Staff Member. Hadley, Stephen",26450.0,2018,280714.82,255087
2,China,A delegation of Mayors and Senior Officials from various cities in China,10'' x 6'' x 6'' bronze statue. Rec'd--9/27/ 2014. Est. Value-- $500.00. Disposition-- Pending transfer to General Services Administration.,"Admiral Cecil Haney, Commander of the U.S. Pacific Fleet",1.4,2001,"Zhou Qiang, Secretary of Hunan of the Provincial Committee of the Communist Party of China",``The Palace Museum'' yellow tie. Ceramic platter depicting Secretary Kerry. Silk swathe. Rec'd--6/7/ 2016. Est. Value-- $440.00. Disposition-- Transferred to General Services Administration.,"White House Staff Member. Summers, Lawrence",20000.0,2018,285698.6,468378
3,Egypt,"Abd el Alim Mohamed Tamer, Egyptian CNO","10"" silver replica hookah, enclosed in blue felt box. Rec'd--7/27/2011. Est. Value--$425.00. Location--Pending Transfer to the General Services Administration.","Admiral Edmund Giambastiani, Vice Chairman, Joint Chiefs of Staff",85.0,2001,"Younis El Masri, Lieutenant General (Air Force Commander), the Arab Republic of Egypt",Yellow alabaster bowl; sterling silver chains with charms; four white tablecloths with matching napkin rings. Rec'd--9/23/2009. Est. Value--$630.00. Disposition--Archives Foreign.,"White House Staff Member. Donilon, Thomas",10000.0,2018,93518.45,222937
4,France,"Admiral Bernard Rogel and Mrs. Christine Rogel, Chief of Naval Operations of the French Republic and Spouse","$2,700 Swiss Francs in cash. Rec'd--November 19, 2008. Est. Value-- $2,464.34. Location-- Pending Transfer to General Services Administration.","Admiral Jonathan Greenert, US Navy, Chief of Naval Operations and Spouse",170.0,2001,"World Health Organization, International Agency for Research on Cancer, Lyon, France","Wine: 6 bottles of 1990 Chateau Talbot Saint- Julien. Recd--November 7, 2001. Est. Value-- $450. Handled pursuant to Secret Service policy.",White House Staff Member Lisa Monaco,15083.62,2018,207180.09,227101
5,Iraq,"Abdul Qadir, Lieutenant General and Commander of the Army of the Republic of Iraq","1. Book: Mam jalal, From a Fredom Fighter to a President with inscription from President Talabani to Secretary Rice; 2. Inlaid box, 30 X 30 cm, probably mass produced in Syria, lined with red cushioned material 3. Inlaid box, 30 X 30 cm, probably mass produced in Syria, lined with red cushioned material. Rec'd--December 18, 2007; Est. Value-- $405.00; Location-- Pending Transfer to General Services Administration.","Admiral Gary Roughead, Chief of Naval Operations",25.0,2004,Unknown Iraq Government Official,iPad. Case. Rec'd--4/9/ 2013. Est. Value-- $620.00. Disposition-- In custody of Army Gift Program pending transfer to General Services Administration.,"White House Staff Member. Phee, Molly",8500.0,2017,188074.34,349550
6,Italy,"Admiral Bruno Branciforte, Chief of Staff of the Italian Navy","15'' white ceramic ``Liberty'' vase with three women dancing, numbered 200 of 500, and twelve E. Marinella ties. Rec'd-- 10/13/2008. Est. Value--$2,460.00. Location--Archives Foreign.","ADM Vern E. Clark, Chief of Naval Operations",20.0,2001,"Vice Admiral Luigi Binelli Mantelli, Chief of the Italian Navy",iPad. Rec'd--5/28/2010. Est. Value--$500.00. Disposition--Attorney General's Office for Official Use.,"White House Staff Member. Price, Daniel",124000.0,2018,468344.08999999997,381364
7,Japan,"Admiral Eiji Yoshikawa, Chief of Staff, Japanese Maritime Self Defense Force Japan","16"" x 27"" framed Japanese calligraphy. Rec'd--11/12/2009. Est. Value--$350.00. Disposition--Archives Foreign.","Adm. Thomas B. Fargo, Commander in Chief, U.S. Pacific Fleet",1.325,2001,"Vice Admiral Masahiko Sugimoto, Commander in Chief of the Self- Defense Fleet of Japan",Wristwatch. Rec'd--11/ 21/02. Est. Value-- $300.00. Pending transfer to the General Services Administration.,"White House Staff Member, Jo Handelsman",14221.61,2018,166672.885,261220
8,Jordan,"Abdulla II bin al Hussein, King of the Hashemite Kingdom of Jordan","1"" x 7"" x 9"" Porcelain sculpture of Jordanian archway on a black pedestal, presented in dark brown and beige leather-topped box. Rec'd--5/17/2011. Est. Value--$350.00. Disposition--National Archives and Records Administration.","Abrams, Elliott, Special Assistant to the President and Senior Director National Security Council",50.0,2001,Their Majesties The King and Queen of the Hashemite Kingdom of Jordan,iPod Touch; Incense Burner. Rec'd--10/23/ 2011. Est. Value-- $455.00. Location-- Deposited with the Secretary of the Senate.,"Yael Belkind, Assistant Manager of Blair House",147000.0,2018,382715.9,488467
