,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
0,Southern Severe Storms and Flooding ,Flooding,2551,7,1980,04,10,1980,04,17,1980-04-10,1980-04-17
1,Hurricane Allen ,Tropical Cyclone,2071,13,1980,08,07,1980,08,11,1980-08-07,1980-08-11
2,Central/Eastern Drought/Heat Wave ,Drought,37675,1260,1980,06,01,1980,11,30,1980-06-01,1980-11-30
3,Florida Freeze ,Freeze,1922,0,1981,01,12,1981,01,14,1981-01-12,1981-01-14
4,"Severe Storms, Flash Floods, Hail, Tornadoes ",Severe Storm,1305,20,1981,05,05,1981,05,10,1981-05-05,1981-05-10
5,"Midwest/Southeast/Northeast Winter Storm, Cold Wave ",Winter Storm,2052,85,1982,01,08,1982,01,16,1982-01-08,1982-01-16
6,Midwest/Plains/Southeast Tornadoes ,Severe Storm,1488,33,1982,04,02,1982,04,04,1982-04-02,1982-04-04
7,Severe Storms ,Severe Storm,1464,30,1982,05,31,1982,06,10,1982-05-31,1982-06-10
8,Gulf States Storms and Flooding ,Flooding,4578,45,1982,12,01,1983,01,15,1982-12-01,1983-01-15
9,Western Storms and Flooding ,Flooding,4469,50,1982,12,13,1983,03,31,1982-12-13,1983-03-31
10,Hurricane Alicia ,Tropical Cyclone,8760,21,1983,08,17,1983,08,20,1983-08-17,1983-08-20
11,Southeast Drought ,Drought,8863,0,1983,06,01,1983,08,31,1983-06-01,1983-08-31
12,Freeze / Cold Wave ,Freeze,5998,151,1983,12,15,1983,12,25,1983-12-15,1983-12-25
13,"Tornadoes, Severe Storms, Floods ",Severe Storm,1719,80,1984,03,27,1984,04,07,1984-03-27,1984-04-07
14,Severe Storms and Hail ,Severe Storm,1258,1,1984,06,13,1984,06,17,1984-06-13,1984-06-17
15,"Winter Storm, Cold Wave ",Winter Storm,2319,150,1985,01,19,1985,01,22,1985-01-19,1985-01-22
16,Florida Freeze ,Freeze,3324,0,1985,01,20,1985,01,22,1985-01-20,1985-01-22
17,Ohio and Pennsylvania Tornado Outbreak ,Severe Storm,1632,89,1985,05,31,1985,05,31,1985-05-31,1985-05-31
18,Hurricane Elena ,Tropical Cyclone,3516,4,1985,08,30,1985,09,03,1985-08-30,1985-09-03
19,Hurricane Gloria ,Tropical Cyclone,2312,11,1985,09,26,1985,09,28,1985-09-26,1985-09-28
20,Hurricane Juan ,Tropical Cyclone,4026,63,1985,10,27,1985,10,31,1985-10-27,1985-10-31
21,"Virginia, West Virginia, Pennsylvania and Maryland Flooding ",Flooding,3752,62,1985,11,03,1985,11,08,1985-11-03,1985-11-08
22,Western Severe Storms and Flooding ,Severe Storm,1415,13,1986,02,14,1986,02,16,1986-02-14,1986-02-16
