,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
33,Western Fire Season ,Wildfire,1587,17,1990,06,01,1990,08,31,1990-06-01,1990-08-31
38,Oakland Firestorm ,Wildfire,7029,25,1991,10,01,1991,10,31,1991-10-01,1991-10-31
50,California Wildfires ,Wildfire,2757,4,1993,09,01,1993,11,30,1993-09-01,1993-11-30
56,Western Fire Season ,Wildfire,1428,0,1994,06,01,1994,11,30,1994-06-01,1994-11-30
88,Western Fire Season ,Wildfire,1838,0,2000,03,01,2000,08,31,2000-03-01,2000-08-31
99,Western Fire Season ,Wildfire,2130,21,2002,09,01,2002,11,30,2002-09-01,2002-11-30
106,California Wildfires ,Wildfire,6147,22,2003,09,01,2003,11,30,2003-09-01,2003-11-30
126,Numerous Wildfires ,Wildfire,2157,28,2006,01,01,2006,12,31,2006-01-01,2006-12-31
130,Western Wildfires ,Wildfire,3838,12,2007,06,01,2007,08,31,2007-06-01,2007-08-31
142,U.S. Wildfires ,Wildfire,1654,16,2008,09,01,2008,11,30,2008-09-01,2008-11-30
151,Western Wildfires ,Wildfire,1376,10,2009,06,01,2009,11,30,2009-06-01,2009-11-30
177,"Texas, New Mexico, Arizona Wildfires ",Wildfire,2349,5,2011,06,01,2011,11,30,2011-06-01,2011-11-30
187,Western Wildfires ,Wildfire,2208,8,2012,06,01,2012,11,30,2012-06-01,2012-11-30
216,Western and Alaskan Wildfires ,Wildfire,3694,12,2015,06,01,2015,11,30,2015-06-01,2015-11-30
233,Western/Southeast Wildfires ,Wildfire,2898,21,2016,06,01,2016,12,31,2016-06-01,2016-12-31
250,"Western Wildfires, California Firestorm ",Wildfire,21426,54,2017,06,01,2017,12,31,2017-06-01,2017-12-31
266,"Western Wildfires, California Firestorm ",Wildfire,27840,106,2018,06,01,2018,12,31,2018-06-01,2018-12-31
280,California and Alaska Wildfires ,Wildfire,5130,3,2019,06,01,2019,11,30,2019-06-01,2019-11-30
301,"Western Wildfires - California, Oregon, Washington Firestorms ",Wildfire,18424,46,2020,08,01,2020,12,30,2020-08-01,2020-12-30
322,Western Wildfires ,Wildfire,11232,8,2021,06,01,2021,12,31,2021-06-01,2021-12-31
