,country_name,ccode,facility_name,facility_ambiguity,enr_type,size,construction_start,construction_end,operation_start,operation_end,operation2_start,operation2_end,covert,iaea,regional,military,military_ambiguity,multinational,foreign_assistance,foreign_assistance_ambiguity,total_years_spent
0,Algeria,615,Hot cell facility at Ain Oussera,0,1,1,1986,1992,1992,7777,,,1,1,0,0,1,0,1,0,6
2,Argentina,160,Ezeiza II – SF Reprocessing Facility,-77,1,2,1978,1990,9999,9999,,,0,0,1,0,0,0,0,1,12
3,Argentina,160,Pilcaniyeu Enrichment Facility I,0,2,2,1979,1987,1987,1994,,,1,0,1,1,0,0,0,1,8
5,Australia,900,Lucas Heights,0,3,1,1965,1972,1972,1983,,,0,1,0,0,1,0,0,0,7
6,Australia,900,Silex Laser Enrichment Facility at Lucas Heights Science and Technology Complex,0,7,1,1982,1992,1992,2007,,,0,1,0,0,0,1,1,1,10
7,Belgium,211,"Mol, Purex Reprocessing Facility, Eurochemic",0,1,2,1960,1966,1966,1974,,,0,1,1,0,0,1,1,0,6
8,Brazil,140,Aerospace Technical Center (Institute of Advanced Studies),0,7,1,1975,1981,1981,1989,,,1,0,0,1,0,0,0,0,6
9,Brazil,140,"BRF Enrichment – Aramar Demonstration Center, Ipero, Sao Paolo",0,3,2,1987,1998,1998,7777,,,1,1,1,1,0,0,0,1,11
10,Brazil,140,"BRN Enrichment (Aramar Isotopic Enrichment Lab) Ipero, Sao Paulo",0,3,1,1976,1988,1988,7777,,,1,1,1,1,0,0,1,0,12
11,Brazil,140,"INB Resende – Commercial Enrichment Facility, Rio De Janeiro",0,3,3,2000,2005,2005,7777,,,0,1,1,1,1,0,0,1,5
12,Brazil,140,"INB Resende –Pilot Enrichment Facility, Rio De Janeiro",0,6,2,1982,1985,1985,1994,,,0,1,1,0,0,0,1,0,3
13,Brazil,140,IPEN – Reprocessing,0,1,1,1960,1982,1982,1989,,,1,0,0,1,0,0,0,1,22
14,Brazil,140,Pilot Enrichment Plant- Belo Horizonte (INB Resende),0,6,2,1975,1979,1979,1989,,,0,1,0,0,0,0,1,0,4
17,Canada,20,Montreal Lab  ,1,1,1,1942,1944,1944,1946,,,1,0,0,1,0,1,1,0,2
18,China,710,China Institute of Atomic Energy (Diffusion Lab),1,2,1,1955,1958,1958,1963,,,1,0,0,1,0,0,1,1,3
21,China,710,"Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong I",0,3,3,1993,1997,1997,7777,,,0,1,0,0,0,0,1,0,4
23,China,710,"Hanzhong, Shaanxi Uranium Enrichment Plant, Hanzhong III",0,3,3,2009,2011,2011,7777,,,0,1,0,0,0,0,1,0,2
28,China,710,Juiquan 2 (Atomic Energy Complex),0,1,2,1965,1968,1968,1970,,,1,0,0,1,0,0,1,0,3
29,China,710,"Nuclear Fuel Component Plant (Pant 812, Yibin  Sichuan)",0,1,3,1968,1972,1972,7777,,,1,0,0,1,0,0,1,0,4
